id,food,serving_size_g,calories_kcal,protein_g,fat_g,carbohydrates_g,vitamin_a_mg,vitamin_b6_mg,vitamin_b12_mg,vitamin_c_mg,vitamin_d_mg,vitamin_e_mg,calcium_mg,iron_mg,potassium_mg,magnesium_mg,selenium_mg,zinc_mg,iodine_mg,allergens
415,Venison jerky,100,410,33.0,27.0,3.0,0,0.45,0.002,0,0,0.3,20,3.5,600,50,0.020,5.0,0,none
416,"Elk meat, raw",100,111,22.0,2.0,0,0,0.50,0.003,0,0,0.2,10,4.0,360,25,0.018,2.7,0,none
417,"Bison meat, raw",100,146,20.0,7.0,0,0,0.42,0.002,0,0,0.3,12,2.5,330,24,0.015,2.4,0,none
418,"Camel meat, raw",100,120,19.0,5.0,0,0,0.40,0.001,0,0,0.2,11,2.0,320,22,0.014,2.3,0,none
419,"Ostrich meat, raw",100,142,22.0,6.0,0,0,0.38,0.001,0,0,0.2,9,2.7,330,23,0.016,2.6,0,none
420,"Emu meat, raw",100,148,21.0,7.0,0,0,0.36,0.001,0,0,0.2,8,2.6,325,21,0.015,2.5,0,none
421,"Kangaroo meat, raw",100,98,21.0,1.0,0,0,0.44,0.002,0,0,0.2,13,3.0,330,26,0.017,2.8,0,none
423,"Alligator meat, raw",100,143,29.0,3.0,0,0,0.35,0.001,0,0,0.2,10,3.0,320,25,0.017,2.5,0,none
424,"Crocodile meat, raw",100,110,22.0,2.0,0,0,0.30,0.001,0,0,0.2,12,2.5,310,24,0.016,2.3,0,none
425,"Snake meat, raw",100,93,20.0,1.5,0,0,0.28,0.001,0,0,0.1,9,2.0,300,22,0.015,2.0,0,none
426,"Turtle meat, raw",100,89,19.0,0.8,0,0,0.25,0.001,0,0,0.1,8,1.8,295,20,0.014,1.9,0,none
427,"Horse liver, raw",100,130,19.0,4.0,3.0,6.0,0.30,0.015,0,0,0.2,11,8.0,240,21,0.027,2.4,0,none
428,"Yak meat, raw",100,150,21.0,6.0,0,0,0.40,0.002,0,0,0.3,14,2.8,310,23,0.016,2.6,0,none
429,"Goat meat, raw",100,109,20.6,2.3,0,0,0.35,0.001,0,0,0.2,13,2.7,385,23,0.018,2.5,0,none
430,"Sheep liver, raw",100,139,20.0,5.0,2.0,7.0,0.32,0.018,0,0,0.3,12,9.0,245,22,0.030,2.6,0,none
431,"Quail meat, raw",100,123,21.8,4.5,0,0,0.34,0.001,0,0,0.2,11,2.9,300,21,0.017,2.4,0,none
432,"Pheasant meat, raw",100,133,23.0,5.0,0,0,0.36,0.001,0,0,0.2,10,3.0,310,22,0.018,2.5,0,none
433,"Partridge meat, raw",100,134,22.5,5.1,0,0,0.35,0.001,0,0,0.2,10,3.1,315,23,0.018,2.6,0,none
434,"Guinea fowl meat, raw",100,135,23.0,5.2,0,0,0.34,0.001,0,0,0.2,9,3.0,320,22,0.017,2.5,0,none
435,"Pigeon meat, raw",100,142,24.0,6.0,0,0,0.38,0.001,0,0,0.2,11,3.2,325,23,0.019,2.7,0,none
436,"Seal meat, raw",100,144,23.0,5.0,0,0,0.40,0.003,0,0,0.3,13,3.5,330,25,0.021,2.8,0,none
437,"Whale meat, raw",100,130,24.0,4.0,0,0,0.42,0.004,0,0,0.3,15,3.8,340,26,0.022,3.0,0,none
438,"Moose meat, raw",100,120,22.0,3.0,0,0,0.39,0.002,0,0,0.2,12,3.2,335,24,0.019,2.6,0,none
439,"Reindeer meat, raw",100,122,22.5,3.2,0,0,0.37,0.002,0,0,0.2,11,3.1,338,25,0.020,2.7,0,none
440,"Antelope meat, raw",100,118,22.0,3.1,0,0,0.36,0.002,0,0,0.2,10,3.0,332,24,0.019,2.6,0,none
441,"Caribou meat, raw",100,119,22.3,3.0,0,0,0.38,0.002,0,0,0.2,12,3.2,336,25,0.020,2.7,0,none
442,"Wild boar meat, raw",100,122,22.4,3.2,0,0,0.37,0.002,0,0,0.2,11,3.1,334,24,0.019,2.6,0,none
444,Duck fat,100,900,0,100.0,0,0,0,0,0,0,0.1,2,0.1,1,0,0,0,0,none
445,Goose fat,100,900,0,100.0,0,0,0,0,0,0,0.1,3,0.1,1,0,0,0,0,none
446,"Lard, pork fat",100,900,0,100.0,0,0,0,0,0,0,0.2,2,0.1,1,0,0,0,0,none
447,Beef tallow,100,900,0,100.0,0,0,0,0,0,0,0.1,1,0.1,0,0,0,0,0,none
448,Sheep fat,100,900,0,100.0,0,0,0,0,0,0,0.1,2,0.1,0,0,0,0,0,none
449,Chicken fat,100,900,0,100.0,0,0,0,0,0,0,0.1,1,0.1,0,0,0,0,0,none
450,Turkey fat,100,900,0,100.0,0,0,0,0,0,0,0.1,1,0.1,0,0,0,0,0,none
451,Goose liver pâté,100,462,12.0,43.0,2.0,7.0,0.20,0.013,0,0,0.3,9,4.0,250,20,0.020,2.0,0,milk
452,Duck confit,100,350,25.0,28.0,0,0,0.25,0.002,0,0,0.2,12,2.0,260,22,0.018,2.4,0,none
453,Rabbit stew,100,150,20.0,7.0,2.0,0,0.30,0.002,2.0,0,0.2,15,3.0,280,24,0.020,2.2,0,none
454,"Venison steak, grilled",100,190,28.0,8.0,0,0,0.35,0.003,0,0,0.2,18,3.5,310,26,0.021,2.6,0,none
455,"Elk steak, grilled",100,180,27.0,7.0,0,0,0.33,0.003,0,0,0.2,16,3.2,300,25,0.020,2.5,0,none
456,"Bison steak, grilled",100,200,29.0,9.0,0,0,0.36,0.004,0,0,0.3,17,3.3,315,27,0.022,2.7,0,none
457,"Moose steak, grilled",100,185,28.0,8.0,0,0,0.34,0.003,0,0,0.2,16,3.2,310,26,0.021,2.6,0,none
458,"Reindeer steak, grilled",100,188,28.5,8.5,0,0,0.35,0.003,0,0,0.2,17,3.4,312,27,0.021,2.7,0,none
459,"Wild boar steak, grilled",100,192,29.0,9.0,0,0,0.36,0.004,0,0,0.3,18,3.5,318,28,0.022,2.8,0,none
460,"Camel steak, grilled",100,195,27.0,10.0,0,0,0.38,0.003,0,0,0.3,19,3.6,320,29,0.023,2.9,0,none
461,"Ostrich steak, grilled",100,180,28.0,7.0,0,0,0.32,0.002,0,0,0.2,15,3.1,305,24,0.020,2.5,0,none
462,"Kangaroo steak, grilled",100,170,30.0,5.0,0,0,0.40,0.003,0,0,0.3,20,3.7,310,25,0.021,2.7,0,none
464,"Quail egg, boiled",100,158,13.0,11.0,1.2,0.16,0.14,0.0015,0,0.001,1.1,64,3.6,132,13,0.032,1.5,0.015,egg
465,"Duck egg, boiled",100,185,13.0,14.0,1.5,0.14,0.17,0.0037,0,0.002,1.3,64,3.9,222,17,0.037,1.4,0.020,egg
466,"Goose egg, raw",100,185,13.9,13.3,1.5,0.17,0.15,0.005,0,0.002,1.5,60,3.6,200,18,0.035,1.6,0.018,egg
467,"Turkey egg, raw",100,171,13.1,11.9,1.0,0.15,0.16,0.004,0,0.002,1.4,62,3.7,210,19,0.034,1.5,0.017,egg
468,"Pheasant egg, raw",100,170,12.5,12.0,1.2,0.14,0.16,0.004,0,0.002,1.3,61,3.6,205,18,0.033,1.4,0.016,egg
469,"Ostrich egg, raw",100,155,12.0,11.0,1.5,0.13,0.15,0.003,0,0.002,1.2,59,3.5,198,17,0.032,1.3,0.015,egg
470,"Emu egg, raw",100,160,12.8,11.5,1.3,0.15,0.16,0.004,0,0.002,1.4,63,3.8,215,19,0.034,1.5,0.017,egg
471,"Partridge egg, raw",100,168,12.7,11.8,1.1,0.14,0.15,0.004,0,0.002,1.3,62,3.7,208,18,0.033,1.4,0.016,egg
472,"Guinea fowl egg, raw",100,169,12.8,11.9,1.2,0.15,0.16,0.004,0,0.002,1.4,63,3.8,210,19,0.034,1.5,0.017,egg
473,"Pigeon egg, raw",100,167,12.6,11.7,1.0,0.13,0.15,0.004,0,0.002,1.3,61,3.6,206,18,0.033,1.4,0.016,egg
474,"Milk, cow, skim",100,34,3.4,0.1,5.0,0.03,0.05,0.0004,0,0.0001,0.1,125,0.1,150,12,0.002,0.3,0.015,milk
475,"Milk, cow, whole",100,61,3.2,3.3,5.0,0.05,0.07,0.0005,0,0.0001,0.1,113,0.1,150,12,0.002,0.3,0.015,milk
476,"Milk, cow, semi-skimmed",100,46,3.4,1.5,5.0,0.04,0.06,0.0005,0,0.0001,0.1,120,0.1,150,12,0.002,0.3,0.015,milk
477,"Milk, cow, evaporated",100,135,6.8,7.6,10.0,0.08,0.09,0.001,0,0.0002,0.2,240,0.2,220,20,0.003,0.5,0.020,milk
478,"Milk, cow, condensed, sweetened",100,321,8.0,8.7,55.0,0.09,0.10,0.001,0,0.0002,0.2,280,0.2,250,22,0.003,0.6,0.020,milk
479,"Milk, cow, powdered, whole",100,496,26.0,27.0,38.0,0.12,0.11,0.002,0,0.0003,0.3,900,0.5,1200,85,0.004,1.2,0.030,milk
480,"Milk, cow, powdered, skim",100,360,36.0,1.0,52.0,0.10,0.12,0.002,0,0.0003,0.3,1250,0.6,1700,110,0.004,1.5,0.035,milk
481,"Cream, sour",100,193,2.4,20.0,4.0,0.06,0.04,0.0005,0,0.0001,0.2,110,0.1,200,15,0.002,0.4,0.020,milk
482,Buttermilk,100,40,3.5,1.0,4.8,0.04,0.06,0.0004,0,0.0001,0.1,116,0.1,180,13,0.002,0.3,0.018,milk
483,Kefir,100,41,3.3,1.0,4.7,0.02,0.06,0.0005,1.4,0.0001,0.04,120,0.1,150,12,0.002,0.3,0.016,milk
486,"Yogurt, plain, low-fat",100,59,5.3,0.4,7.0,0.02,0.05,0.0004,1.0,0.0001,0.1,183,0.1,234,17,0.002,0.4,0.015,milk
487,"Yogurt, Greek, plain",100,59,10.0,0.4,3.6,0.02,0.05,0.0005,0,0.0001,0.1,110,0.1,150,11,0.002,0.5,0.018,milk
489,"Cheese, Swiss",100,380,27.0,28.0,5.4,0.28,0.09,0.003,0,0.0007,0.6,890,0.2,120,30,0.020,3.1,0.030,milk
490,"Cheese, blue",100,353,21.0,29.0,2.3,0.20,0.10,0.001,0,0.0005,0.8,528,0.3,120,23,0.015,2.5,0.022,milk
491,"Cheese, brie",100,334,21.0,27.0,0.5,0.21,0.08,0.001,0,0.0005,0.7,184,0.5,152,20,0.012,2.3,0.020,milk
492,"Cheese, camembert",100,300,20.0,24.0,0.5,0.20,0.07,0.001,0,0.0005,0.6,388,0.5,150,19,0.012,2.2,0.020,milk
493,"Cheese, gouda",100,356,25.0,27.0,2.2,0.26,0.08,0.002,0,0.0006,0.7,700,0.5,120,28,0.015,3.0,0.024,milk
494,"Cheese, havarti",100,371,25.0,31.0,1.2,0.25,0.09,0.001,0,0.0006,0.6,600,0.4,130,25,0.014,2.7,0.023,milk
495,"Cheese, colby",100,394,23.0,32.0,2.6,0.27,0.08,0.001,0,0.0006,0.7,685,0.6,118,26,0.015,2.8,0.025,milk
496,"Cheese, monterey jack",100,373,24.0,30.0,1.6,0.26,0.09,0.001,0,0.0006,0.6,700,0.5,115,24,0.014,2.9,0.024,milk
497,"Cheese, provolone",100,351,26.0,27.0,2.1,0.25,0.08,0.002,0,0.0006,0.6,756,0.5,110,23,0.013,2.8,0.023,milk
498,"Cheese, ricotta, whole milk",100,174,11.0,13.0,3.0,0.10,0.05,0.0005,0,0.0003,0.2,207,0.2,105,12,0.004,0.8,0.012,milk
499,"Cheese, cottage, low-fat",100,98,11.0,4.0,3.4,0.07,0.06,0.0004,0,0.0002,0.1,83,0.1,104,10,0.003,0.7,0.010,milk
500,"Cheese, mascarpone",100,429,7.0,42.0,4.0,0.15,0.04,0.0003,0,0.0002,0.5,120,0.3,100,12,0.005,0.6,0.009,milk
501,"Cheese, cream",100,350,6.0,34.0,4.0,0.12,0.05,0.0004,0,0.0002,0.4,98,0.2,95,10,0.004,0.5,0.008,milk
502,"Cheese, parmesan, grated",100,431,38.0,29.0,4.1,0.28,0.10,0.001,0,0.0006,0.8,1184,0.9,180,44,0.015,3.2,0.030,milk
504,"Cheese, mozzarella, part skim",100,280,22.0,17.0,3.0,0.22,0.07,0.001,0,0.0004,0.6,731,0.6,120,25,0.012,2.6,0.022,milk
506,"Cheese, gorgonzola",100,358,21.0,32.0,2.3,0.20,0.09,0.001,0,0.0005,0.7,420,0.5,110,20,0.012,2.4,0.021,milk
507,"Cheese, asiago",100,384,27.0,31.0,2.5,0.22,0.08,0.001,0,0.0006,0.6,820,0.7,115,23,0.013,2.7,0.023,milk
508,"Cheese, manchego",100,376,25.0,32.0,1.6,0.25,0.07,0.001,0,0.0006,0.6,740,0.6,112,21,0.012,2.5,0.022,milk
509,"Cheese, halloumi",100,321,22.0,26.0,2.2,0.21,0.06,0.001,0,0.0005,0.5,700,0.5,110,20,0.011,2.4,0.020,milk
510,"Cheese, paneer",100,265,18.0,20.0,3.6,0.18,0.05,0.001,0,0.0004,0.4,480,0.4,100,18,0.010,2.2,0.018,milk
511,"Cheese, queso fresco",100,299,19.0,23.0,2.5,0.20,0.06,0.001,0,0.0005,0.5,680,0.6,108,19,0.011,2.3,0.019,milk
512,"Cheese, roquefort",100,369,21.0,32.0,2.0,0.19,0.07,0.001,0,0.0005,0.7,500,0.5,115,22,0.012,2.5,0.021,milk
513,"Cheese, stilton",100,380,23.0,33.0,2.3,0.21,0.08,0.001,0,0.0006,0.7,525,0.6,117,23,0.013,2.6,0.022,milk
514,"Cheese, cotija",100,366,24.0,30.0,2.0,0.20,0.07,0.001,0,0.0005,0.6,700,0.5,110,21,0.012,2.5,0.021,milk
515,"Cheese, taleggio",100,377,23.0,31.0,2.1,0.19,0.06,0.001,0,0.0005,0.6,520,0.5,108,20,0.011,2.4,0.020,milk
516,"Cheese, edam",100,357,25.0,27.0,1.4,0.18,0.06,0.001,0,0.0005,0.5,730,0.6,115,22,0.012,2.6,0.022,milk
517,"Cheese, fontina",100,389,26.0,31.0,1.5,0.20,0.07,0.001,0,0.0005,0.6,745,0.6,116,22,0.012,2.6,0.022,milk
518,"Cheese, gruyere",100,413,30.0,32.0,0.4,0.22,0.08,0.001,0,0.0006,0.7,1011,0.7,118,24,0.013,2.7,0.023,milk
519,"Cheese, monterey pepper jack",100,372,25.0,30.0,1.5,0.21,0.07,0.001,0,0.0006,0.6,700,0.5,115,23,0.012,2.5,0.021,milk
520,"Cheese, colby jack",100,394,24.0,32.0,2.0,0.20,0.07,0.001,0,0.0005,0.6,680,0.5,114,22,0.012,2.5,0.021,milk
521,"Cheese, string",100,333,23.0,25.0,3.0,0.18,0.06,0.001,0,0.0005,0.5,700,0.5,110,20,0.011,2.3,0.019,milk
522,"Cheese, processed, American",100,371,18.0,33.0,5.6,0.20,0.08,0.001,0,0.0006,0.6,500,0.5,105,18,0.012,2.2,0.018,milk
523,"Cheese, processed, spread",100,280,14.0,23.0,4.0,0.18,0.07,0.001,0,0.0005,0.5,450,0.4,100,17,0.011,2.1,0.017,milk
524,"Cheese, goat, hard",100,452,30.0,35.0,2.0,0.22,0.09,0.001,0,0.0006,0.7,895,0.6,120,23,0.013,2.8,0.023,milk
525,"Cheese, sheep, hard",100,473,32.0,36.0,1.8,0.23,0.09,0.001,0,0.0006,0.7,930,0.7,122,24,0.014,2.9,0.024,milk
